Biggar	Saskatchewan	CA	 52° 04' 00"	-108° 00' 00"	-7.0	--	660.00		5899982
Bissett	Manitoba	CA	 51° 01' 30"	-95° 40' 52"	-6.0	US	257.16
Blind River	Ontario	CA	 46° 20' 00"	-82° 53' 00"	-5.0	US	344.00
Blue River	British Columbia	CA	 52° 06' 00"	-119° 18' 00"	-8.0	US	685.00
Bonavista	Newfoundland	CA	 48° 39' 00"	-53° 07' 00"	-3.5	US	0.00		5905393
Bonnyville	Alberta	CA	 54° 16' 00"	-110° 44' 00"	-7.0	US	556.00		5905616
Boston Bar	British Columbia	CA	 49° 52' 00"	-121° 26' 00"	-8.0	US	435.23
Bowmanville	Ontario	CA	 43° 55' 00"	-78° 41' 00"	-5.0	US	101.44
Bracebridge	Ontario	CA	 45° 02' 00"	-79° 19' 00"	-5.0	US	239.98		5907092
Brampton	Ontario	CA	 43° 41' 00"	-79° 46' 00"	-5.0	US	220.00		5907364
Brandon	Manitoba	CA	 49° 51' 00"	-99° 57' 00"	-6.0	US	366.70		5907896
Brantford	Ontario	CA	 43° 08' 00"	-80° 16' 00"	-5.0	US	193.00		5907990
Brent	Ontario	CA	 46° 02' 00"	-78° 29' 00"	-5.0	US	350.62
Brockville	Ontario	CA	 44° 35' 00"	-75° 41' 00"	-5.0	US	73.00		5909294
Brooks	Alberta	CA	 50° 35' 00"	-111° 53' 00"	-7.0	US	753.00		5909514
Buchans	Newfoundland	CA	 48° 49' 30"	-56° 50' 45"	-3.5	US	247.78
Buffalo Narrows	Saskatchewan	CA	 55° 51' 00"	-108° 29' 00"	-7.0	--	423.04
Burgeo	Newfoundland	CA	 47° 37' 00"	-57° 37' 00"	-3.5	US	0.00		5911440
Burns Lake	British Columbia	CA	 54° 14' 00"	-125° 45' 00"	-8.0	US	758.78		5911745
Burwash	Ontario	CA	 46° 14' 22"	-80° 51' 03"	-5.0	US	229.00
Cabano	Quebec	CA	 47° 41' 00"	-68° 53' 00"	-5.0	US	175.24		6944109
Cadillac	Quebec	CA	 48° 13' 28"	-78° 23' 06"	-5.0	US	323.00
Cadomin	Alberta	CA	 53° 02' 00"	-117° 20' 00"	-7.0	US	1567.53
Cadotte Lake	Alberta	CA	 56° 28' 00"	-116° 22' 00"	-7.0	US	583.00
Caledonia	Nova Scotia	CA	 44° 22' 00"	-65° 02' 00"	-4.0	US	104.23
Calgary	Alberta	CA	 51° 02' 59"	-114° 04' 58"	-7.0	US	1049.60		5913490
Caliper Lake	Ontario	CA	 49° 03' 37"	-93° 53' 40"	-6.0	US	341.01
Calling Lake	Alberta	CA	 55° 15' 00"	-113° 12' 00"	-7.0	US	616.00
Calvert	Newfoundland	CA	 47° 03' 00"	-52° 55' 00"	-3.5	US	139.99
Campbell River	British Columbia	CA	 50° 01' 00"	-125° 14' 30"	-8.0	US	60.81		5914132
Campbellton	New Brunswick	CA	 47° 59' 41"	-66° 40' 52"	-4.0	US	13.60		6696258
Canora	Saskatchewan	CA	 51° 38' 00"	-102° 26' 00"	-7.0	--	486.00		5915098
Canso	Nova Scotia	CA	 45° 20' 00"	-61° 00' 00"	-4.0	US	11.14
Cap-Chat	Quebec	CA	 49° 06' 00"	-66° 41' 00"	-5.0	US	0.00		5915359
Cap-aux-Meules	Quebec	CA	 47° 23' 00"	-61° 52' 00"	-4.0	US	26.37
Carbonear	Newfoundland	CA	 47° 44' 00"	-53° 13' 00"	-3.5	US	0.00		5916722
Carleton Place	Ontario	CA	 45° 08' 00"	-76° 09' 00"	-5.0	US	136.09		5917158
Carlyle	Saskatchewan	CA	 49° 38' 00"	-102° 16' 00"	-7.0	--	630.00		5917262
Carman	Manitoba	CA	 49° 29' 57"	-98° 00' 03"	-6.0	US	261.00		5917275
Casselman	Ontario	CA	 45° 19' 00"	-75° 05' 00"	-5.0	US	67.28		5918021
Castlegar	British Columbia	CA	 49° 18' 00"	-117° 40' 00"	-8.0	US	600.50		5918118
Cavendish	Alberta	CA	 50° 49' 00"	-110° 27' 00"	-7.0	US	680.00
Chandler	Quebec	CA	 48° 21' 00"	-64° 41' 00"	-5.0	US	23.00		6943811
Channel-Port aux Basques	Newfoundland	CA	 47° 34' 00"	-59° 09' 00"	-3.5	US	0.00		5919815
Chapais	Quebec	CA	 49° 47' 00"	-74° 51' 00"	-5.0	US	398.51		5919850
Chapleau	Ontario	CA	 47° 48' 00"	-83° 26' 00"	-5.0	US	447.00
Chard	Alberta	CA	 55° 50' 00"	-110° 55' 00"	-7.0	US	510.64
Charlevoix	Quebec	CA	 47° 36' 35"	-70° 11' 23"	-5.0	US	299.31
Charlottetown	Prince Edward Island	CA	 46° 14' 24"	-63° 07' 48"	-4.0	US	6.00		5920288
Chatham-Kent	Ontario	CA	 42° 26' 02"	-82° 07' 44"	-5.0	US	183.00
Cheticamp	Nova Scotia	CA	 46° 38' 00"	-61° 01' 00"	-4.0	US	0.00
Chetwynd	British Columbia	CA	 55° 42' 00"	-121° 38' 00"	-8.0	US	641.97		5921091
Chibougamau	Quebec	CA	 49° 53' 59"	-74° 22' 47"	-5.0	US	418.84		5921147
Chilliwack	British Columbia	CA	 49° 10' 30"	-121° 56' 30"	-8.0	US	14.05		5921356
Churchill	Manitoba	CA	 58° 46' 12"	-94° 05' 24"	-6.0	US	16.00
Chute-des-Passes	Quebec	CA	 50° 00' 00"	-71° 35' 00"	-5.0	US	532.66
Clarenville	Newfoundland	CA	 48° 10' 00"	-53° 58' 00"	-3.5	US	72.26
Claresholm	Alberta	CA	 50° 02' 00"	-113° 35' 00"	-7.0	US	1034.00		5923125
Clark's Harbour	Nova Scotia	CA	 43° 27' 00"	-65° 38' 00"	-4.0	US	10.00
Clayhurst	British Columbia	CA	 56° 11' 00"	-120° 03' 00"	-8.0	US	643.00
Clearwater	British Columbia	CA	 51° 39' 00"	-120° 02' 00"	-8.0	US	457.76
Clinton	British Columbia	CA	 51° 05' 00"	-121° 35' 00"	-8.0	US	971.89		5924041
Cloud Bay	Ontario	CA	 48° 08' 00"	-89° 26' 00"	-5.0	US	248.31
Clova	Quebec	CA	 48° 07' 00"	-75° 22' 00"	-5.0	US	420.07
Coaticook	Quebec	CA	 45° 08' 00"	-71° 48' 00"	-5.0	US	287.49		5924500
Cochrane	Ontario	CA	 49° 09' 00"	-81° 02' 00"	-5.0	US	247.59
Cold Lake	Alberta	CA	 54° 25' 47"	-110° 13' 48"	-7.0	US	534.00		5925024
Colinet	Newfoundland	CA	 47° 13' 00"	-53° 33' 00"	-3.5	US	4.85
Comox	British Columbia	CA	 49° 40' 47"	-124° 54' 00"	-8.0	US	43.18
Consort	Alberta	CA	 52° 01' 00"	-110° 46' 00"	-7.0	US	757.00
Corner Brook	Newfoundland	CA	 48° 58' 00"	-57° 57' 00"	-3.5	US	5.00		5927969
Cornwall	Ontario	CA	 45° 02' 00"	-74° 44' 00"	-5.0	US	57.89		5928065
Coronation	Alberta	CA	 52° 05' 00"	-111° 27' 00"	-7.0	US	794.00
Courtenay	British Columbia	CA	 49° 41' 00"	-124° 59' 00"	-8.0	US	5.19		5930890
Cranbrook	British Columbia	CA	 49° 40' 47"	-115° 45' 36"	-8.0	US	875.79		5931800
Crowsnest Pass	Alberta	CA	 49° 36' 15"	-114° 31' 10"	-7.0	US	1608.57
Cypress River	Manitoba	CA	 49° 33' 21"	-99° 05' 12"	-6.0	US	374.00
Daniel's Harbour	Newfoundland	CA	 50° 14' 00"	-57° 35' 00"	-3.5	US	12.00
Dauphin	Manitoba	CA	 51° 08' 58"	-100° 02' 58"	-6.0	US	291.00		5935341
Davidson	Saskatchewan	CA	 51° 16' 00"	-105° 59' 00"	-7.0	--	612.00
Dawson Creek	British Columbia	CA	 55° 46' 00"	-120° 14' 00"	-8.0	US	695.57		5935804
